index,tweet,sentimen
1636,"['pemerintah', 'bergerak', 'cepat', 'memaksimalkan', 'diplomasi', 'indonesia', 'kuota', 'maksimal', 'disahkan']",Negatif
1637,"['terima', 'kasih', 'kepemimpinannya', 'mendorong', 'disahkannya', 'disahkan']",Positif
1638,"['rapat', 'paripurna', 'pengesahan', 'dipimpin', 'disetujui', 'inisiatif', 'januari', 'disahkan']",Positif
1639,"['kartini', 'ajak', 'kaum', 'perempuan', 'bersyukur', 'disahkan']",Positif
1640,"['ri', 'pemerintah', 'indonesia', 'bergerak', 'cepat', 'pelaksanaan', 'ibadah', 'haji', 'mengupayakan', 'kuota', 'maksimal', 'disahkan']",Positif
1641,"['lahirnya', 'hasil', 'komitmen', 'indonesia', 'kekerasan', 'seksual', 'disahkan']",Positif
1642,"['menatap', 'generasi', 'emas', 'isapan', 'jempol', 'disahkan']",Positif
1643,"['evita', 'pujiannya', 'dedikasinya', 'kerasnya', 'mendukung', 'pembahasan', 'pengesahan', 'disahkan']",Positif
1644,"['sadar', 'membawa', 'perubahan', 'mari', 'menguatkan', 'bergotongroyong', 'indonesia', 'makmur', 'sejahtera', 'disahkan']",Positif
1645,"['polri', 'evita', 'nursanty', 'mengapresiasi', 'disahkannya', 'rancangan', 'undang', 'undang', 'tindak', 'pidana', 'kekerasan', 'seksual', 'undang', 'undang', 'disahkan']",Positif
1646,"['acara', 'sinau', 'bareng', 'cak', 'nun', 'salah', 'hadir', 'citacita', 'perjalanan', 'membangun', 'indonesia', 'disahkan']",Negatif
1647,"['karno', 'berulang', 'ancaman', 'pembunuhan', 'pengabdiannya', 'disahkan']",Negatif
1648,"['merawat', 'kesinambungan', 'siti', 'tujuan', 'fungsi', 'ri', 'disahkan']",Netral
1649,"['peneliti', 'ahli', 'utama', 'badan', 'riset', 'inovasi', 'nasional', 'brin', 'siti', 'zuhro', 'menyarankan', 'merawat', 'hubungan', 'warga', 'nahdliyin', 'pdi', 'perjuangan', 'disahkan']",Positif
1650,"['pemerintah', 'persiapan', 'pemberangkatan', 'jemaah', 'penyediaan', 'fasilitas', 'arab', 'saudi', 'sebaikbaiknya', 'disahkan']",Positif
1651,"['tugas', 'bersilaturahmi', 'menjalankan', 'fungsi', 'diembannya', 'dewan', 'perwakilan', 'rakyat', 'disahkan']",Negatif
1652,"['menyebut', 'kenaikan', 'harga', 'energi', 'memberatkan', 'rakyat', 'disahkan']",Positif
1653,"['mengajak', 'umat', 'islam', 'ramadan', 'mulia', 'penuh', 'keberkahan', 'aktivitas', 'positif', 'produktif', 'menyongsong', 'indonesia', 'disahkan']",Positif
1654,"['apbn', 'berdarah', 'disahkan']",Positif
1655,"['indonesia', 'kuota', 'tambahan', 'sisa', 'kuota', 'haji', 'negara', 'terserap', 'disahkan']",Netral
1656,"['mengimbau', 'mahasiswa', 'tergabung', 'organisasi', 'pmii', 'berkontribusi', 'menjaga', 'persatuan', 'kebinekaan', 'indonesia', 'disahkan']",Positif
1657,"['berpendapat', 'kebijakan', 'menaikkan', 'harga', 'pertalite', 'listrik', 'gas', 'elpiji', 'kg', 'berdampak', 'masyarakat', 'disahkan']",Positif
1658,"['menyebut', 'pemerintah', 'melobi', 'arab', 'saudi', 'mencari', 'tambahan', 'kuota', 'haji', 'disahkan']",Positif
1659,"['pemerintah', 'memperhatikan', 'menaikkan', 'harga', 'disahkan']",Positif
1660,"['pemerintah', 'bergerak', 'cepat', 'memaksimalkan', 'diplomasi', 'indonesia', 'kuota', 'maksimal', 'disahkan']",Negatif
1661,"['pemerintah', 'rencana', 'menaikkan', 'harga', 'kebutuhan', 'bertahap', 'disahkan']",Positif
1662,"['pemerintah', 'buktikan', 'layanan', 'pedulilindungi', 'langgar', 'privacy', 'disahkan']",Positif
1663,"['kerajaan', 'arab', 'saudi', 'mengumumkan', 'membuka', 'haji', 'total', 'kuota', 'juta', 'jemaah', 'disahkan']",Positif
1664,"['pemerintahan', 'presiden', 'jokowi', 'berhatihati', 'menaikkan', 'harga', 'energi', 'harga', 'bbm', 'jenis', 'pertalite', 'solar', 'elpji', 'tarif', 'listrik', 'disahkan']",Positif
1665,"['salah', 'berkah', 'puasa', 'berkah', 'dikaruniakan', 'tuhan', 'yme', 'suci', 'ramadan', 'dirasakan', 'karno', 'selamat', 'upaya', 'pembunuhan', 'disahkan']",Positif
1666,"['ri', 'pemerintah', 'berupaya', 'optimal', 'melobi', 'arab', 'saudi', 'indonesia', 'jatah', 'kuota', 'haji', 'optimal', 'disahkan']",Positif
1667,"['pemerintah', 'memperhatikan', 'masyarakat', 'menetapkan', 'kenaikan', 'harga', 'disahkan']",Positif
1668,"['upaya', 'pembunuhan', 'karno', 'ramadan', 'hijriah', 'bertepatan', 'tanggal', 'maret', 'memasuki', 'puasa', 'disahkan']",Negatif
1669,"['pendekatan', 'nahdliyin', 'dianggap', 'merawat', 'kesinambungan', 'disahkan']",Netral
1670,"['mahasiswa', 'bersikap', 'pasif', 'aktif', 'berkontribusi', 'membantu', 'membangun', 'bangsa', 'bidang', 'disahkan']",Netral
1671,"['karno', 'berulang', 'ancaman', 'pembunuhan', 'pengabdiannya', 'disahkan']",Negatif
1672,"['semoga', 'semangat', 'persatuan', 'perjuangan', 'bangsa', 'tumbuhkan', 'turunkan', 'anak', 'cucu', 'menghadapi', 'tantangan', 'kedepan', 'disahkan']",Positif
1673,"['dukungan', 'pemerintah', 'pusat', 'pemerintah', 'daerah', 'dinas', 'terkait', 'generasi', 'penerus', 'bangsa', 'patah', 'arang', 'berjuang', 'mewujudkan', 'citacita', 'disahkan']",Netral
1674,"['menatap', 'generasi', 'emas', 'isapan', 'jempol', 'disahkan']",Positif
1675,"['menyebutnya', 'berkah', 'ibadah', 'puasa', 'ramadhan', 'menyelamatkan', 'kakeknya', 'disahkan']",Positif
1676,"['sadar', 'membawa', 'perubahan', 'mari', 'menguatkan', 'bergotongroyong', 'indonesia', 'makmur', 'sejahtera', 'disahkan']",Positif
1677,"['acara', 'sinau', 'bareng', 'cak', 'nun', 'salah', 'hadir', 'citacita', 'perjalanan', 'membangun', 'indonesia', 'disahkan']",Negatif
1678,"['pemerintah', 'persiapan', 'pemberangkatan', 'jemaah', 'penyediaan', 'fasilitas', 'arab', 'saudi', 'sebaikbaiknya', 'disahkan']",Positif
1679,"['ri', 'bercerita', 'kakeknya', 'presiden', 'ri', 'soekarno', 'lolos', 'upaya', 'pembunuhan', 'ramadhan', 'disahkan']",Negatif
1680,"['indonesia', 'kuota', 'tambahan', 'sisa', 'kuota', 'haji', 'negara', 'terserap', 'disahkan']",Netral
1681,"['menyebut', 'pemerintah', 'melobi', 'arab', 'saudi', 'mencari', 'tambahan', 'kuota', 'haji', 'disahkan']",Positif
1682,"['pemerintah', 'bergerak', 'cepat', 'memaksimalkan', 'diplomasi', 'indonesia', 'kuota', 'maksimal', 'disahkan']",Negatif
1683,"['harap', 'pemerintah', 'buktikan', 'layanan', 'pedulilindungi', 'langgar', 'privasi', 'disahkan']",Positif
1684,"['senang', 'pmii', 'eksis', 'peran', 'kaum', 'muda', 'mahasiswa', 'dibutuhkan', 'membawa', 'negeri', 'arah', 'disahkan']",Negatif
1685,"['menyinggung', 'fungsi', 'legislasi', 'dewan', 'persidangan', 'iv', 'sidang', 'disahkan']",Negatif
1686,"['kerajaan', 'arab', 'saudi', 'mengumumkan', 'membuka', 'haji', 'total', 'kuota', 'juta', 'jemaah', 'disahkan']",Positif
1687,"['komisi', 'viii', 'menggelar', 'rapat', 'menteri', 'agama', 'menindaklanjuti', 'keputusan', 'arab', 'saudi', 'disahkan']",Positif
1688,"['ri', 'pemerintah', 'berupaya', 'optimal', 'melobi', 'arab', 'saudi', 'indonesia', 'jatah', 'kuota', 'haji', 'optimal', 'disahkan']",Positif
1689,"['tugas', 'pemerintah', 'melobi', 'arab', 'saudi', 'indonesia', 'kuota', 'haji', 'memadai', 'disahkan']",Netral
1690,"['berkontribusi', 'patut', 'apresiasi', 'anggota', 'dewan', 'parlemen', 'disahkan']",Negatif
1691,"['komisi', 'viii', 'menggelar', 'rapat', 'menteri', 'agama', 'menindaklanjuti', 'keputusan', 'arab', 'saudi', 'disahkan']",Positif
1692,"['menyebut', 'umat', 'muslim', 'indonesia', 'menunaikan', 'ibadah', 'haji', 'disahkan']",Positif
1693,"['pemerintah', 'bergerak', 'cepat', 'memaksimalkan', 'diplomasi', 'indonesia', 'kuota', 'maksimal', 'disahkan']",Negatif
1694,"['menyinggung', 'undang', 'undang', 'tindak', 'pidana', 'kekerasan', 'seksual', 'menutup', 'sidang', 'disahkan']",Positif
1695,"['ri', 'pemerintah', 'indonesia', 'bergerak', 'cepat', 'pelaksanaan', 'ibadah', 'haji', 'mengupayakan', 'kuota', 'maksimal', 'disahkan']",Positif
1696,"['menyebut', 'umat', 'muslim', 'indonesia', 'menunaikan', 'ibadah', 'haji', 'disahkan']",Positif
1697,"['mengajak', 'umat', 'islam', 'ramadan', 'mulia', 'penuh', 'keberkahan', 'aktivitas', 'positif', 'produktif', 'menyongsong', 'indonesia', 'disahkan']",Positif
1698,"['berdirinya', 'pmii', 'disebutsebut', 'terlepas', 'peran', 'karno', 'kakek', 'nu', 'mendirikan', 'organisasi', 'mahasiswa', 'disahkan']",Positif
1699,"['pemerintah', 'bergerak', 'cepat', 'memaksimalkan', 'diplomasi', 'indonesia', 'kuota', 'maksimal', 'disahkan']",Negatif
1700,"['salah', 'berkah', 'puasa', 'berkah', 'dikaruniakan', 'tuhan', 'yme', 'suci', 'ramadan', 'dirasakan', 'karno', 'selamat', 'upaya', 'pembunuhan', 'disahkan']",Positif
1701,"['lelah', 'memperjuangkan', 'pemikirannya', 'menerima', 'masukan', 'perwakilan', 'organisasi', 'masyarakat', 'pakar', 'perguruan', 'mahasiswa', 'dan', 'lain-lain', 'disahkan']",Positif
1702,"['karno', 'berulang', 'ancaman', 'pembunuhan', 'pengabdiannya', 'disahkan']",Negatif
1703,"['menyebutnya', 'berkah', 'ibadah', 'puasa', 'ramadhan', 'menyelamatkan', 'kakeknya', 'disahkan']",Positif
1704,"['ri', 'bercerita', 'kakeknya', 'presiden', 'ri', 'soekarno', 'lolos', 'upaya', 'pembunuhan', 'ramadhan', 'disahkan']",Negatif
1705,"['ri', 'mendesak', 'pemerintah', 'merespons', 'tudingan', 'menuduh', 'aplikasi', 'pedulilindungi', 'melanggar', 'ham', 'disahkan']",Negatif
1706,"['terima', 'kasih', 'kepemimpinannya', 'mendorong', 'disahkannya', 'disahkan']",Positif
1707,"['menyinggung', 'fungsi', 'legislasi', 'dewan', 'persidangan', 'iv', 'sidang', 'disahkan']",Negatif
1708,"['berharap', 'umur', 'matang', 'pmii', 'membawa', 'kemajuan', 'indonesia', 'disahkan']",Positif
1709,"['berkontribusi', 'patut', 'apresiasi', 'anggota', 'dewan', 'parlemen', 'disahkan']",Negatif
1710,"['menyinggung', 'undang', 'undang', 'tindak', 'pidana', 'kekerasan', 'seksual', 'menutup', 'sidang', 'disahkan']",Positif
1711,"['lelah', 'memperjuangkan', 'pemikirannya', 'menerima', 'masukan', 'perwakilan', 'organisasi', 'masyarakat', 'pakar', 'perguruan', 'mahasiswa', 'dan', 'lain-lain', 'disahkan']",Positif
1712,"['qrapat', 'paripurna', 'pengesahan', 'dipimpin', 'disetujui', 'inisiatif', 'januari', 'disahkan']",Positif
1713,"['karno', 'berulang', 'ancaman', 'pembunuhan', 'pengabdiannya', 'disahkan']",Negatif
1714,"['mengajak', 'umat', 'islam', 'ramadan', 'mulia', 'penuh', 'keberkahan', 'aktivitas', 'positif', 'produktif', 'menyongsong', 'indonesia', 'disahkan']",Positif
1715,"['terima', 'kasih', 'kepemimpinannya', 'mendorong', 'disahkannya', 'disahkan']",Positif
1716,"['rapat', 'paripurna', 'pengesahan', 'dipimpin', 'disetujui', 'inisiatif', 'januari', 'disahkan']",Positif
1717,"['evita', 'pujiannya', 'dedikasinya', 'kerasnya', 'mendukung', 'pembahasan', 'pengesahan', 'disahkan']",Positif
1718,"['polri', 'evita', 'nursanty', 'mengapresiasi', 'disahkannya', 'rancangan', 'undang', 'undang', 'tindak', 'pidana', 'kekerasan', 'seksual', 'undang', 'undang', 'disahkan']",Positif
1719,"['evita', 'pujiannya', 'dedikasinya', 'kerasnya', 'mendukung', 'pembahasan', 'pengesahan', 'disahkan']",Positif
1720,"['peneliti', 'ahli', 'utama', 'badan', 'riset', 'inovasi', 'nasional', 'brin', 'siti', 'zuhro', 'menyarankan', 'merawat', 'hubungan', 'warga', 'nahdliyin', 'pdi', 'perjuangan', 'disahkan']",Positif
1721,"['merawat', 'kesinambungan', 'siti', 'tujuan', 'fungsi', 'ri', 'disahkan']",Netral
1722,"['tugas', 'bersilaturahmi', 'menjalankan', 'fungsi', 'diembannya', 'dewan', 'perwakilan', 'rakyat', 'disahkan']",Negatif
1723,"['ucapkan', 'selamat', 'doa', 'penuh', 'harapan', 'pmii', 'selamat', 'teruslah', 'bertransformasi', 'membangun', 'peradaban', 'disahkan']",Positif
1724,"['pemerintahan', 'presiden', 'jokowi', 'berhatihati', 'menaikkan', 'harga', 'energi', 'harga', 'bbm', 'jenis', 'pertalite', 'solar', 'elpji', 'tarif', 'listrik', 'disahkan']",Positif
1725,"['salah', 'berkah', 'puasa', 'berkah', 'dikaruniakan', 'tuhan', 'yme', 'suci', 'ramadan', 'dirasakan', 'karno', 'selamat', 'upaya', 'pembunuhan', 'disahkan']",Positif
1726,"['pendekatan', 'nahdliyin', 'dianggap', 'merawat', 'kesinambungan', 'disahkan']",Netral
1727,"['peneliti', 'ahli', 'utama', 'badan', 'riset', 'inovasi', 'nasional', 'brin', 'siti', 'zuhro', 'menyarankan', 'merawat', 'hubungan', 'warga', 'nahdliyin', 'pdi', 'perjuangan', 'disahkan']",Positif
1728,"['pmii', 'organisasi', 'mahasiswa', 'bertransformasi', 'membangun', 'peradaban', 'disahkan']",Positif
1729,"['ri', 'berharap', 'harlah', 'pmii', 'momentum', 'organisasi', 'bertransformasi', 'membangun', 'peradaban', 'disahkan']",Positif
1730,"['upaya', 'pembunuhan', 'karno', 'ramadan', 'hijriah', 'bertepatan', 'tanggal', 'maret', 'memasuki', 'puasa', 'disahkan']",Negatif
1731,"['mengimbau', 'mahasiswa', 'tergabung', 'organisasi', 'pmii', 'berkontribusi', 'menjaga', 'persatuan', 'kebinekaan', 'indonesia', 'disahkan']",Positif
1732,"['selamat', 'lahir', 'harlah', 'salah', 'organisasi', 'mahasiswa', 'islam', 'tertua', 'indonesia', 'pmii', 'disahkan']",Positif
1733,"['karno', 'berulang', 'ancaman', 'pembunuhan', 'pengabdiannya', 'disahkan']",Negatif
1734,"['menyebutnya', 'berkah', 'ibadah', 'puasa', 'ramadhan', 'menyelamatkan', 'kakeknya', 'disahkan']",Positif
1735,"['tugas', 'bersilaturahmi', 'menjalankan', 'fungsi', 'diembannya', 'dewan', 'perwakilan', 'rakyat', 'disahkan']",Negatif
1736,"['mahasiswa', 'bersikap', 'pasif', 'aktif', 'berkontribusi', 'membantu', 'membangun', 'bangsa', 'bidang', 'disahkan']",Netral
1737,"['ri', 'bercerita', 'kakeknya', 'presiden', 'ri', 'soekarno', 'lolos', 'upaya', 'pembunuhan', 'ramadhan', 'disahkan']",Negatif
1738,"['menyinggung', 'fungsi', 'legislasi', 'dewan', 'persidangan', 'iv', 'sidang', 'disahkan']",Negatif
1739,"['berkontribusi', 'patut', 'apresiasi', 'anggota', 'dewan', 'parlemen', 'disahkan']",Negatif
1740,"['senang', 'pmii', 'eksis', 'peran', 'kaum', 'muda', 'mahasiswa', 'dibutuhkan', 'membawa', 'negeri', 'arah', 'disahkan']",Negatif
1741,"['berdirinya', 'pmii', 'disebutsebut', 'terlepas', 'peran', 'karno', 'kakek', 'nu', 'mendirikan', 'organisasi', 'mahasiswa', 'disahkan']",Positif
1742,"['pemerintahan', 'presiden', 'jokowi', 'berhatihati', 'menaikkan', 'harga', 'energi', 'harga', 'bbm', 'jenis', 'pertalite', 'solar', 'elpji', 'tarif', 'listrik', 'disahkan']",Positif
1743,"['berharap', 'umur', 'matang', 'pmii', 'membawa', 'kemajuan', 'indonesia', 'disahkan']",Positif
1744,"['menyinggung', 'undang', 'undang', 'tindak', 'pidana', 'kekerasan', 'seksual', 'menutup', 'sidang', 'disahkan']",Positif
1745,"['bukti', 'keberpihakan', 'mbak', 'kepentingan', 'kaum', 'perempuan', 'disahkan']",Positif
1746,"['selamat', 'lahir', 'harlah', 'salah', 'organisasi', 'mahasiswa', 'islam', 'tertua', 'indonesia', 'pmii', 'disahkan']",Positif
1747,"['pendekatan', 'nahdliyin', 'dianggap', 'merawat', 'kesinambungan', 'disahkan']",Netral
1748,"['bukti', 'keberpihakan', 'mbak', 'kepentingan', 'kaum', 'perempuan', 'disahkan']",Positif
1749,"['pembina', 'fraksi', 'pdip', 'menginstruksikan', 'komponen', 'partai', 'mengerahkan', 'sumberdaya', 'mengegolkan', 'disahkan']",Positif
1750,"['bereaksi', 'tuduhan', 'kementerian', 'negeri', 'amerika', 'serikat', 'aplikasi', 'peduli', 'lindungi', 'melanggaran', 'ham', 'disahkan']",Positif
1751,"['pmii', 'organisasi', 'mahasiswa', 'bertransformasi', 'membangun', 'peradaban', 'disahkan']",Positif
1752,"['perempuan', 'lapisan', 'masyarakat', 'aktivis', 'perempuan', 'berterima', 'kasih', 'total', 'tuntas', 'menggolkan', 'disahkan']",Positif
1753,"['mbak', 'memiliki', 'sensitivitas', 'pembelaan', 'kaum', 'perempuan', 'disahkan']",Positif
1754,"['pembina', 'fraksi', 'pdip', 'menginstruksikan', 'komponen', 'partai', 'mengerahkan', 'sumberdaya', 'mengegolkan', 'disahkan']",Positif
1755,"['publik', 'mbak', 'menitikkan', 'air', 'perjuangan', 'mengawal', 'disahkan']",Positif
1756,"['ri', 'berharap', 'harlah', 'pmii', 'momentum', 'organisasi', 'bertransformasi', 'membangun', 'peradaban', 'disahkan']",Positif
1757,"['disahkannya', 'memiliki', 'posisi', 'membela', 'kepentingan', 'kaum', 'perempuan', 'kerap', 'stereotip', 'negatif', 'beragam', 'kekerasan', 'seksual', 'disahkan']",Positif
1758,"['pemerintahan', 'presiden', 'jokowi', 'berhatihati', 'menaikkan', 'harga', 'energi', 'harga', 'bbm', 'jenis', 'pertalite', 'solar', 'elpji', 'tarif', 'listrik', 'disahkan']",Positif
1759,"['pendekatan', 'nahdliyin', 'dianggap', 'merawat', 'kesinambungan', 'disahkan']",Netral
1760,"['perempuan', 'lapisan', 'masyarakat', 'aktivis', 'perempuan', 'berterima', 'kasih', 'total', 'tuntas', 'menggolkan', 'disahkan']",Positif
1761,"['dewan', 'perwakilan', 'rakyat', 'pemerintah', 'membuktikan', 'aplikasi', 'pedulilindungi', 'melanggar', 'privasi', 'disahkan']",Negatif
1762,"['nkri', 'harga', 'mati', 'kalimat', 'sabang', 'merauke', 'dalamnya', 'semangat', 'jiwa', 'bersatu', 'padu', 'sangsaka', 'merah', 'putih', 'disahkan']",Positif
1763,"['ri', 'berharap', 'harlah', 'pmii', 'momentum', 'organisasi', 'bertransformasi', 'membangun', 'peradaban', 'disahkan']",Positif
1764,"['mengimbau', 'mahasiswa', 'tergabung', 'organisasi', 'pmii', 'berkontribusi', 'menjaga', 'persatuan', 'kebinekaan', 'indonesia', 'disahkan']",Positif
1765,"['mahasiswa', 'bersikap', 'pasif', 'aktif', 'berkontribusi', 'membantu', 'membangun', 'bangsa', 'bidang', 'disahkan']",Netral
1766,"['senang', 'pmii', 'eksis', 'peran', 'kaum', 'muda', 'mahasiswa', 'dibutuhkan', 'membawa', 'negeri', 'arah', 'disahkan']",Negatif
1767,"['berdirinya', 'pmii', 'disebutsebut', 'terlepas', 'peran', 'karno', 'kakek', 'nu', 'mendirikan', 'organisasi', 'mahasiswa', 'disahkan']",Positif
1768,"['mbak', 'memiliki', 'sensitivitas', 'pembelaan', 'kaum', 'perempuan', 'disahkan']",Positif
1769,"['berharap', 'umur', 'matang', 'pmii', 'membawa', 'kemajuan', 'indonesia', 'disahkan']",Positif
1770,"['ucapkan', 'selamat', 'doa', 'penuh', 'harapan', 'pmii', 'selamat', 'teruslah', 'bertransformasi', 'membangun', 'peradaban', 'disahkan']",Positif
1771,"['selamat', 'lahir', 'harlah', 'salah', 'organisasi', 'mahasiswa', 'islam', 'tertua', 'indonesia', 'pmii', 'disahkan']",Positif
1772,"['bukti', 'keberpihakan', 'mbak', 'kepentingan', 'kaum', 'perempuan', 'disahkan']",Positif
1773,"['pembina', 'fraksi', 'pdip', 'menginstruksikan', 'komponen', 'partai', 'mengerahkan', 'sumberdaya', 'mengegolkan', 'disahkan']",Positif
1774,"['perempuan', 'lapisan', 'masyarakat', 'aktivis', 'perempuan', 'berterima', 'kasih', 'total', 'tuntas', 'menggolkan', 'disahkan']",Positif
1775,"['mbak', 'memiliki', 'sensitivitas', 'pembelaan', 'kaum', 'perempuan', 'disahkan']",Positif
1776,"['publik', 'mbak', 'menitikkan', 'air', 'perjuangan', 'mengawal', 'disahkan']",Positif
1777,"['disahkannya', 'memiliki', 'posisi', 'membela', 'kepentingan', 'kaum', 'perempuan', 'kerap', 'stereotip', 'negatif', 'beragam', 'kekerasan', 'seksual', 'disahkan']",Positif
1778,"['suara', 'lantang', 'pemerintah', 'buktikan', 'tuduhan', 'kemenlu', 'disahkan']",Positif
1779,"['nuzulul', 'quran', 'jatuh', 'ramadhan', 'spirit', 'umat', 'muslim', 'berdedikasi', 'kehidupan', 'berbangsa', 'bernegara', 'disahkan']",Positif
1780,"['selamat', 'memperingati', 'nuzulul', 'quranpuan', 'disahkan']",Positif
1781,"['apresiasi', 'masyarakat', 'sipil', 'bantu', 'wujudkan', 'disahkan']",Positif
1782,"['lahirnya', 'hasil', 'komitmen', 'indonesia', 'kekerasan', 'seksual', 'disahkan']",Positif
1783,"['pemerintah', 'buktikan', 'layanan', 'pedulilindungi', 'langgar', 'privacy', 'disahkan']",Positif
1784,"['mahasiswa', 'bersikap', 'pasif', 'aktif', 'berkontribusi', 'membantu', 'membangun', 'bangsa', 'bidang', 'disahkan']",Netral
1785,"['harap', 'pemerintah', 'buktikan', 'layanan', 'pedulilindungi', 'langgar', 'privasi', 'disahkan']",Positif
1786,"['ri', 'mendesak', 'pemerintah', 'merespons', 'tudingan', 'menuduh', 'aplikasi', 'pedulilindungi', 'melanggar', 'ham', 'disahkan']",Negatif
1787,"['disahkannya', 'memiliki', 'posisi', 'membela', 'kepentingan', 'kaum', 'perempuan', 'kerap', 'stereotip', 'negatif', 'beragam', 'kekerasan', 'seksual', 'disahkan']",Positif
1788,"['bereaksi', 'tuduhan', 'kementerian', 'negeri', 'amerika', 'serikat', 'aplikasi', 'peduli', 'lindungi', 'melanggaran', 'ham', 'disahkan']",Positif
1789,"['dewan', 'perwakilan', 'rakyat', 'pemerintah', 'membuktikan', 'aplikasi', 'pedulilindungi', 'melanggar', 'privasi', 'disahkan']",Negatif
1790,"['pembuktian', 'publik', 'ragu', 'aplikasi', 'disahkan']",Negatif
1791,"['suara', 'lantang', 'pemerintah', 'buktikan', 'tuduhan', 'kemenlu', 'disahkan']",Positif
1792,"['pembuktian', 'publik', 'ragu', 'aplikasi', 'disahkan']",Negatif
1793,"['evita', 'pujiannya', 'dedikasinya', 'kerasnya', 'mendukung', 'pembahasan', 'pengesahan', 'disahkan']",Positif
1794,"['pemerintah', 'membuktikan', 'pelanggaran', 'ham', 'penggunaan', 'aplikasi', 'peduli', 'lindungi', 'disahkan']",Negatif
1795,"['ri', 'pemerintah', 'membuktikan', 'pedulilindungi', 'melanggar', 'privasi', 'disahkan']",Negatif
1796,"['mendorong', 'pemerintah', 'membuktikan', 'bantahan', 'laporan', 'kemenlu', 'pelanggaran', 'ham', 'aplikasi', 'pedulilindungi', 'disahkan']",Negatif
1797,"['kewenangan', 'berjanji', 'pengawasan', 'tertawa', 'rakyat', 'perlindungan', 'data', 'pribadi', 'terjaga', 'disahkan']",Positif
1798,"['pemerintah', 'membuktikan', 'pelanggaran', 'ham', 'penggunaan', 'aplikasi', 'peduli', 'lindungi', 'disahkan']",Negatif
1799,"['informasi', 'data', 'pribadi', 'rakyat', 'pedulilindungi', 'penanganan', 'pandemi', 'covid', 'disahkan']",Negatif
1800,"['pemerintah', 'progresif', 'menuntaskan', 'pembahasan', 'pelindungan', 'data', 'pribadi', 'pdp', 'disahkan']",Positif
1801,"['polri', 'evita', 'nursanty', 'mengapresiasi', 'disahkannya', 'rancangan', 'undang', 'undang', 'tindak', 'pidana', 'kekerasan', 'seksual', 'undang', 'undang', 'disahkan']",Positif
1802,"['seandainya', 'pdp', 'disahkan', 'pengguna', 'data', 'pribadi', 'diawasi', 'otoritas', 'independen', 'kementerian', 'tudingan', 'pelanggaran', 'privasi', 'polemik', 'masyarakat', 'disahkan']",Positif
1803,"['pembuktian', 'pemerintah', 'anggapan', 'pedulilindungi', 'menimbulkan', 'gangguan', 'kesewenangwenangan', 'dibantah', 'disahkan']",Positif
1804,"['merawat', 'kesinambungan', 'siti', 'tujuan', 'fungsi', 'ri', 'disahkan']",Netral
1805,"['pemerintah', 'berkewajiban', 'melindungi', 'data', 'pribadi', 'masyarakat', 'disahkan']",Netral
1806,"['nuzulul', 'quran', 'jatuh', 'ramadhan', 'spirit', 'umat', 'muslim', 'berdedikasi', 'kehidupan', 'berbangsa', 'bernegara', 'disahkan']",Positif
1807,"['peneliti', 'ahli', 'utama', 'badan', 'riset', 'inovasi', 'nasional', 'brin', 'siti', 'zuhro', 'menyarankan', 'merawat', 'hubungan', 'warga', 'nahdliyin', 'pdi', 'perjuangan', 'disahkan']",Positif
1808,"['tugas', 'bersilaturahmi', 'menjalankan', 'fungsi', 'diembannya', 'dewan', 'perwakilan', 'rakyat', 'disahkan']",Negatif
1809,"['disinformasi', 'mendorong', 'pemerintah', 'klarifikasi', 'disahkan']",Negatif
1810,"['menyebut', 'tudingan', 'pedulilindungi', 'melanggar', 'ham', 'mempengaruhi', 'kepercayaan', 'publik', 'pemerintah', 'disahkan']",Positif
1811,"['informasi', 'valid', 'jerih', 'payah', 'penanganan', 'covid', 'bias', 'disahkan']",Positif
1812,"['tudingan', 'menyoroti', 'laporan', 'lsm', 'pemerintah', 'mengawasi', 'data', 'pribadi', 'masyarakat', 'pedulilindungi', 'diabaikan', 'disahkan']",Negatif
1813,"['tudingan', 'dibiarkan', 'disahkan']",Positif
1814,"['menilai', 'aplikasi', 'pedulilindungi', 'manfaat', 'tepatnya', 'terkait', 'penanganan', 'pandemi', 'covid', 'disahkan']",Negatif
1815,"['pemerintah', 'penjelasan', 'komprehensif', 'informasi', 'beredar', 'masyarakat', 'simpang', 'siur', 'disahkan']",Positif
1816,"['laporan', 'amerika', 'serikat', 'kegelisahan', 'publik', 'pemerintah', 'penjelasan', 'komprehensif', 'informasi', 'simpang', 'siur', 'disahkan']",Negatif
1817,"['tudingan', 'pedulilindungi', 'melanggar', 'ham', 'dipatahkan', 'pemerintah', 'indonesia', 'bukti', 'disahkan']",Negatif
1818,"['ri', 'pemerintah', 'membuktikan', 'pedulilindungi', 'melanggar', 'privasi', 'disahkan']",Negatif
1819,"['mendesak', 'pemerintah', 'membuktikan', 'konkret', 'aplikasi', 'pedulilindungi', 'melanggar', 'ham', 'terkain', 'data', 'pribadi', 'masyarakat', 'disahkan']",Negatif
1820,"['selamat', 'memperingati', 'nuzulul', 'quranpuan', 'disahkan']",Positif
1821,"['pmii', 'organisasi', 'mahasiswa', 'bertransformasi', 'membangun', 'peradaban', 'disahkan']",Positif
1822,"['apresiasi', 'masyarakat', 'sipil', 'bantu', 'wujudkan', 'disahkan']",Positif
1823,"['bukti', 'sukses', 'kawal', 'banjir', 'pujian', 'aktivis', 'kartini']",Negatif
